"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"55140",999999,"League",2019,"732473","7.5","0.242","0.024","0.242","0.266","0.219","0.222","0.236","13157","54367","85.6","-11.7","2204","88.6","88.06","0","55140","0","-0.5","6.00","110","151","115","148","298","322","295"
"53416",999999,"League",2021,"709851","7.5","0.241","0.025","0.241","0.266","0.221","0.228","0.242","12709","52650","84.4","-13.4","2182","88.9","88.87","0","53416","0","0.0","6.29","110","153","118","148","298","322","294"
"19202",999999,"League",2020,"263584","7.3","0.238","0.023","0.238","0.261","0.218","0.228","0.242","4531","19076","84.4","-13.0","2191","88.5","88.46","0","19202","0","0.0","6.31","109","152","119","148","298","322","295"
