"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"61344",999999,"League",2015,"702302","8.7","0.249","0.021","0.249","0.270","0.227","0.222","0.234","14994","60143","85.7","-11.6","2095","88.9","88.25","0","61344","0","-0.6","6.03","109","148","110","146","291","311","291"
"59411",999999,"League",2016,"715821","8.3","0.250","0.020","0.250","0.270","0.227","0.218","0.237","14573","58383","86.0","-11.8","2156","89.0","88.37","0","59411","0","-0.6","6.06","108","149","111","146","294","315","292"
"57822",999999,"League",2017,"721244","8.0","0.249","0.022","0.249","0.271","0.226","0.219","0.237","14154","56897","83.5","-12.0","2178","88.7","88.19","0","57822","0","-0.5","6.02","109","150","111","147","295","317","293"
"56193",999999,"League",2018,"721190","7.8","0.246","0.023","0.246","0.269","0.225","0.221","0.233","13626","55369","85.6","-11.9","2181","88.7","88.18","0","56193","0","-0.5","5.99","109","150","112","147","295","318","294"
