"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"37197",999999,"League",2015,"702302","5.3","1.000","0.272","1.000","1.272","0.982","0.571","0.560","37197","37197","92.2","8.1","2114","89.1","88.45","0","37197","0","-0.7","6.03","109","149","110","146","292","311","292"
"36666",999999,"League",2016,"715821","5.1","1.000","0.273","1.000","1.273","0.977","0.574","0.566","36666","36666","92.4","8.6","2173","89.2","88.57","0","36666","0","-0.6","6.07","108","149","112","146","294","316","293"
"36109",999999,"League",2017,"721244","5.0","1.000","0.277","1.000","1.277","0.974","0.572","0.567","36109","36109","91.7","8.6","2194","89.0","88.44","0","36109","0","-0.6","6.03","109","150","112","147","295","318","294"
"35433",999999,"League",2018,"721190","4.9","1.000","0.281","1.000","1.281","0.982","0.580","0.570","35433","35433","92.1","9.1","2200","88.9","88.38","0","35433","0","-0.5","6.00","109","151","113","147","295","318","295"
