"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"122777",999999,"League",2019,"732473","16.8","0.339","0.247","0.297","0.586","0.378","0.379","0.334","41184","121641","88.7","12.7","2226","88.8","88.45","0","122777","0","-0.3","6.00","110","152","116","148","298","322","296"
"43280",999999,"League",2020,"263584","16.4","0.333","0.238","0.292","0.571","0.376","0.382","0.334","14266","42877","88.4","12.7","2223","88.6","88.54","0","43280","0","-0.1","6.31","110","152","119","148","298","323","295"
"119752",999999,"League",2021,"709851","16.9","0.330","0.228","0.291","0.557","0.370","0.375","0.330","39088","118607","88.8","12.6","2206","88.9","88.85","0","119752","0","-0.1","6.29","110","153","119","148","298","323","295"
