"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"35263",999999,"League",2019,"732473","4.8","1.000","0.286","1.000","1.286","0.968","0.574","0.569","35263","35263","92.2","9.3","2225","88.9","88.33","0","35263","0","-0.6","6.00","110","151","116","148","298","322","296"
"33540",999999,"League",2021,"709851","4.7","1.000","0.274","1.000","1.274","0.978","0.570","0.562","33540","33540","91.8","8.6","2204","89.0","89.05","0","33540","0","0.0","6.29","110","153","118","148","298","323","295"
"12135",999999,"League",2020,"263584","4.6","1.000","0.272","1.000","1.272","0.979","0.581","0.571","12135","12135","91.3","8.9","2219","88.7","88.66","0","12135","0","0.0","6.31","109","152","118","147","298","323","295"
