"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"123691",999999,"League",2018,"721190","17.2","0.330","0.217","0.295","0.547","0.368","0.367","0.324","40365","122460","88.4","12.3","2200","88.8","88.38","0","123691","0","-0.4","6.00","110","151","113","147","295","318","295"
"124869",999999,"League",2017,"721244","17.3","0.336","0.228","0.299","0.564","0.374","0.370","0.330","41567","123708","87.3","11.8","2194","88.8","88.37","0","124869","0","-0.4","6.03","110","151","112","147","295","318","294"
